Time,Mid
2019-07-01 22:01:30.172072,291.7728
2019-07-01 22:01:59.185576,292.00698
2019-07-01 22:02:30.187968,291.742475
2019-07-01 22:02:59.194075,291.83394
2019-07-01 22:03:30.274681,291.96709
2019-07-01 22:03:59.288890,292.111185
2019-07-01 22:04:30.313982,292.2177
2019-07-01 22:04:59.328936,292.221405
2019-07-01 22:05:30.388290,292.469455
2019-07-01 22:05:59.399193,292.55565
2019-07-01 22:06:30.399334,294.401265
2019-07-01 22:06:59.401146,294.37319
2019-07-01 22:07:30.447119,293.605455
2019-07-01 22:07:59.436714,293.092025
2019-07-01 22:08:30.504063,293.135875
2019-07-01 22:08:59.485334,293.170465
2019-07-01 22:09:30.505382,293.53082
2019-07-01 22:09:59.547893,293.391265
2019-07-01 22:10:02.755278,293.391265
2019-07-01 22:11:02.793753,292.25954
2019-07-01 22:12:02.798808,291.52702
2019-07-02 12:40:25.336569,274.717305
2019-07-02 12:41:25.412271,276.99414
2019-07-02 12:42:25.455124,276.88545
2019-07-02 12:43:25.550492,277.317315
2019-07-02 12:44:25.630771,280.237345
2019-07-02 12:45:25.652793,281.61219
2019-07-02 12:46:25.682883,281.59189
2019-07-02 12:47:25.732203,281.798335
2019-07-02 12:48:25.790828,281.83911
2019-07-02 12:49:25.862856,281.388675
2019-07-02 12:50:02.883741,281.64824
2019-07-02 12:51:02.927759,280.02127
2019-07-02 12:52:02.965065,280.34232
2019-07-02 12:53:03.047889,280.083605
2019-07-02 12:54:03.073432,280.193045
2019-07-02 12:55:03.166760,280.23599
2019-07-02 12:56:03.172738,280.026
2019-07-02 12:57:03.223246,279.19369
2019-07-02 12:58:03.298313,278.48404
2019-07-02 12:59:03.396526,276.889185
2019-07-02 13:00:02.752494,277.36721
2019-07-02 13:01:02.788388,277.03726
2019-07-02 13:02:02.846576,279.273605
2019-07-02 13:03:02.893796,279.840645
2019-07-02 13:04:02.895376,280.8821
2019-07-02 13:05:02.940905,280.716765
2019-07-02 13:06:02.959621,280.87331
2019-07-02 13:07:03.002334,279.956575
2019-07-02 13:08:03.022235,280.550695
2019-07-02 13:09:03.068499,280.28867
2019-07-02 13:10:02.215657,280.17552
2019-07-02 13:11:02.240045,280.214285
2019-07-02 13:12:02.252651,281.224515
2019-07-02 13:13:02.300264,280.829625
2019-07-02 13:14:02.328948,280.51541
2019-07-02 13:15:02.412304,280.509615
2019-07-02 13:16:02.499466,280.671965
2019-07-02 13:17:02.579381,281.664265
2019-07-02 13:18:02.609906,281.981085
2019-07-02 13:19:02.632288,282.39429
2019-07-02 13:20:02.147624,282.65545
2019-07-02 13:21:02.172922,282.728595
2019-07-02 13:22:02.205450,283.114375
2019-07-02 13:23:02.242382,282.865195
2019-07-02 13:24:02.330939,281.60333
2019-07-02 13:25:02.334341,281.52149
2019-07-02 13:26:02.422870,280.762495
2019-07-02 13:27:02.490439,281.236765
2019-07-02 13:28:02.556868,280.771255
2019-07-02 13:29:02.616537,279.95659
2019-07-02 13:30:02.055926,280.376375
2019-07-02 13:31:02.115078,281.425895
2019-07-02 13:32:02.143881,281.65949
2019-07-02 13:33:02.199119,282.122455
2019-07-02 13:34:02.261246,282.424405
2019-07-02 13:35:02.315419,282.65199
2019-07-02 13:36:02.326615,282.575995
2019-07-02 13:37:02.426108,282.322245
2019-07-02 13:38:02.473060,282.32872
2019-07-02 13:39:02.560674,282.823625
2019-07-02 13:40:02.180652,283.427445
2019-07-02 13:41:02.241108,284.76903
2019-07-02 13:42:02.266710,284.380445
2019-07-02 13:43:02.294854,283.41405
2019-07-02 13:44:02.331779,283.69913
2019-07-02 13:45:02.349917,283.674685
2019-07-02 13:46:02.360575,284.08853
2019-07-02 13:47:02.382926,284.325465
2019-07-02 13:48:02.435327,284.21353
2019-07-02 13:49:02.490961,283.980895
2019-07-02 13:50:02.401580,283.67656
2019-07-02 13:51:02.431720,283.71168
2019-07-02 13:52:02.491584,282.65801
2019-07-02 13:53:02.547311,281.868885
2019-07-02 13:54:02.559678,281.80812
2019-07-02 13:55:02.593140,281.78365
2019-07-02 13:56:02.620890,282.319335
2019-07-02 13:57:02.646499,282.49551
2019-07-02 13:58:02.650119,282.493665
2019-07-02 14:00:18.758830,281.81132
2019-07-02 14:01:18.825377,283.03506
2019-07-02 14:02:18.826296,283.234995
2019-07-02 14:03:18.898919,283.4635
2019-07-02 14:04:18.950495,283.482385
2019-07-02 14:05:18.957020,283.41533
2019-07-02 14:06:19.054714,283.213865
2019-07-02 14:07:19.099474,282.801015
2019-07-02 14:08:19.185644,282.541995
2019-07-02 14:09:19.260359,282.358155
2019-07-02 14:10:02.398060,282.18433
2019-07-02 14:11:02.459036,282.400655
2019-07-02 14:12:02.473606,282.35772
2019-07-02 14:13:02.482493,281.78551
2019-07-02 14:14:02.508139,281.17374
2019-07-02 14:15:02.607343,280.72827
2019-07-02 14:16:02.651407,280.58422
2019-07-02 14:17:02.686269,280.28248
2019-07-02 14:18:02.777266,280.29215
2019-07-02 14:19:02.859711,280.498105
2019-07-02 14:20:02.371773,280.404915
2019-07-02 14:21:02.433652,280.082775
2019-07-02 14:22:02.443225,279.95058
2019-07-02 14:23:02.487300,280.199575
2019-07-02 14:24:02.500040,281.05287
2019-07-02 14:25:02.534251,281.23251
2019-07-02 14:26:02.610988,281.436785
2019-07-02 14:27:02.695606,280.915635
2019-07-02 14:28:02.741751,280.77743
2019-07-02 14:29:02.774274,280.894035
2019-07-02 14:30:02.168241,280.30231
2019-07-02 14:31:02.199116,280.38765
2019-07-02 14:32:02.299278,280.797215
2019-07-02 14:33:02.354112,280.9318
2019-07-02 14:34:02.370107,280.679
2019-07-02 14:35:02.415787,280.02601
2019-07-02 14:36:02.475027,280.123455
2019-07-02 14:37:02.496070,279.04973
2019-07-02 14:38:02.533821,278.80911
2019-07-02 14:39:02.588169,278.22875
2019-07-02 14:40:02.323784,278.458225
2019-07-02 14:41:02.337662,279.394475
2019-07-02 14:42:02.421469,279.29284
2019-07-02 14:43:02.435490,279.22401
2019-07-03 18:20:23.842964,292.697785
2019-07-03 18:21:23.875404,292.77871
2019-07-03 18:22:23.939558,292.647975
2019-07-03 18:23:24.009882,292.500285
